Event Name,Fields,Trigger / Context
TicketResolved,"ticket_id, resolution_method, cost_incurred","Records when the player clicks ""Resolve"" or ""Refund""."
TicketIgnored,ticket_id,If a ticket expires or is dismissed by the player.
Event Name,Fields,Trigger / Context
VendorNegotiationStarted,"vendor_id, item_type, agent_id","Records that the player clicked the ""Negotiate"" button."
VendorNegotiationOutcome,"vendor_id, success (bool), new_price_multiplier, message","Critical: Like proposals, the negotiation logic uses random chance (and potentially LLM). You must record the result (Success/Fail) so the replay is deterministic."
VendorRelationshipUpdated,"vendor_id, agent_id, new_score",Records the relationship_scores change (Line 131 in vendor.py).
Event Name,Fields,Trigger / Context
BuyoutOfferSent,"proposal_id, buyer_id, target_id, offer_amount",Triggered by initiate_buyout. Records the intent to purchase a competitor.
BuyoutOfferAccepted,"proposal_id, final_transaction_amount",Triggered in process_response (if accepted). Triggers the massive transfer of assets/machines.
BuyoutOfferRejected,"proposal_id, rejection_reason",Triggered in process_response (if rejected).
BuyoutFailedInsufficientFunds,"proposal_id, required, available",Triggered in process_response if the buyer tries to close the deal but went broke in the meantime.
Event Name,Fields,Trigger / Context
CustomerVisitStarted,"customer_id, laundromat_id, persona_segment",Triggered in decide_laundromat. Records who chose to visit you and why.
CustomerVisitBounced,"customer_id, laundromat_id, reason (e.g., ""Vibe"")",Triggered in visit_laundromat when irrationality_factor causes them to leave immediately (Line 126).
CustomerComplaintFiled,"ticket_id, customer_id, ticket_type, description, severity","Triggered by _create_ticket. This is the ""Ticket"" creation event."
CustomerServiceCompleted,"customer_id, laundromat_id, revenue_generated",Triggered at the end of visit_laundromat if no issues occurred.
CustomerSentimentRecorded,"customer_id, laundromat_id, thought_text, bias_delta","Triggered by record_experience. Captures the ""Current Thought"" bubble and the shift in their internal bias map (Love/Hate score)."
Event Name,Fields,Trigger / Context
ProposalSubmitted,"proposal_id, agent_id, name, category, setup_cost, description",Triggered when submit_proposal is called. Captures the player's initial idea.
ProposalEvaluated,"proposal_id, feasibility_score, profitability, customer_appeal, reasoning",Triggered inside _evaluate_proposal. Critical: This captures the LLM's opinion so you don't have to re-query the AI when replaying history.
ProposalApproved,"proposal_id, final_setup_cost, revenue_stream_name",Triggered by approve_proposal. This event implies money was deducted and a new RevenueStream was added to the agent's state.
ProposalRejected,"proposal_id, reason (optional)",Triggered by reject_proposal. The player decided not to proceed after seeing the evaluation.
Event Name,Fields,Why it's needed
TimeAdvanced,"new_week, new_day, season","The ""Tick"" of your engine. Triggers weekly logic."
MarketTrendChanged,"trend_name, impact_multiplier",Updates global variables in WorldState.
WeatherChanged,"weather_type, intensity",Affects customer traffic generation.
Event Name,Fields,Why it's needed
TransactionRecorded,"amount, category, description, related_entity_id",The atom of your financial system. Replaying these builds the balance.
BillIssued,"bill_id, amount, due_date, issuer",Creates a liability.
BillPaid,"bill_id, amount_paid, late_fees",Resolves a liability.
Event Name,Fields,Why it's needed
MachinePurchased,"machine_id, model_type, price, location_id",Adds a machine to LocationState.
MachineStateChanged,"machine_id, new_state (Broken/Idle/Running), condition",Records wear and tear or breakdowns.
MaintenancePerformed,"location_id, cost, parts_used, machines_fixed",Records the PERFORM_MAINTENANCE action.
StaffHired,"staff_id, role, wage, skill",Adds staff to LocationState.
StaffActionLog,"staff_id, action_type (Trained/Fired/Quit)",modifications to staff roster.
Event Name,Fields,Why it's needed (Code Reference)
DilemmaTriggered,"dilemma_id, dilemma_type, agent_id, week",Records that a dilemma was presented to the user (Line 318 create_dilemma).
DilemmaResolved,"dilemma_id, choice_id, outcome_text, effects: Dict",Records the player's decision (Line 341 resolve_dilemma).
RiskConsequenceTriggered,"dilemma_id, penalty_applied, description","Handles the specific logic where a risky choice ""backfires"" (Line 378). Separating this allows you to analyze ""Bad Luck"" vs ""Bad Decisions."""
ReputationChanged,"agent_id, delta, reason, source_event_id",Decouples the score calculation from the event that caused it.
Event Name,Fields,Why it's needed (Code Reference)
OrderPlaced,"order_id, vendor_id, items: Dict[str, int], total_cost, expected_delivery_date",Records the process_order call (Line 143). Deducts cash immediately.
ShipmentShipped,"order_id, vendor_id, shipped_items, actual_delivery_date",Handles the logic where delivery_days might change due to supply chain events (Line 161).
ShipmentReceived,"order_id, items_received",Adds items to LocationState.inventory. Handles PARTIAL_SHIPMENT or LOST_SHIPMENT logic (Lines 177-180).
NegotiationAttempted,"vendor_id, item_type, success, negotiation_power",Logs the attempt in negotiate_price (Line 116). Vital for analyzing agent strategy.
VendorDiscountGranted,"vendor_id, item_type, discount_multiplier, agent_id",Crucial: Replaces the direct mutation of self.negotiated_discounts (Line 126). Replaying this builds the discount table.
VendorRelationshipChanged,"vendor_id, agent_id, new_score, change_reason",Tracks the relationship_scores updates (Line 131).
Event Name,Fields,Trigger / Context
FundsTransferred,"transaction_id, amount, category, description, week, related_entity_id","The Atom of Truth. Triggered by add_transaction (Line 14). This creates the ""paper trail"" for every single penny entering or leaving."
